admium Yellow (540 nm)
Cobalt Blue (CoAl2O4)
Titanium White (TiO2)
Quinacridone Magenta (PV122)
Chromium Oxide Green (Cr2O3)
Samurai Ebony
Viking Sea
Pharaoh Gold
Sari Pink
Fiesta Sienna
Blissful Blue
Rage Red
Envy Green
Melancholy Mauve
Serenity Silver
Willow Whisper
Canyon Rust
Ocean Depth
Sunrise Glow
Falcon Wing
Griffin Gray
Nymph Teal
Chimera Crimson
Valkyrie Violet
Sylph Sky
Nebula Navy
Solar Flare
Comet Tail
Black Hole Onyx
Starlight Silver
Renaissance Ruby
Victorian Lilac
Byzantine Bronze
Tudor Turquoise
Baroque Beige
Velvet Vermilion
Whisper White
Sizzle Scarlet
Cool Jazz Blue
Tangy Tangerine
Pixel Pink
Binary Blue
Circuit Silver
Datastream Dark
Neon Byte
Whispering Willow
Raging Ruby
Alluring Azure
Pensive Plum
Gallant Garnet
